,ques_en,ans_en,ques_ha,ans_ha,label,image_id_2
4593,What color is the grass?,Green.,Menene launin ciyawar?,Kore.,1530,2336324
4594,Where is the picture taken?,On top of a television.,Ina aka ɗauki hoton?,Akan talabijin.,524,2329019
4595,What is the white vase holding?,Flowers.,Menene acikin tukunya mai launin fari?,Fure.,1107,2391713
4596,What is made of wood?,The table.,Menene aka yishi da katako?,Tebir.,2404,2371504
4597,Where are the bananas?,Box on ground.,A ina ayaba take?,Acikin kwali aqasa.,452,2402947
4598,Where is the refrigerator?,Behind the woman on the far wall.,A ina fijir din ayke?,Abayan matar acen gefe.,418,2389445
4599,Why the light is red?,The train is passing.,Meyasa filitar take jaa?,Saboda jirgin kasa zai wuce.,2128,2337896
4600,Why are the persons arms stretched out?,Balance.,Meyasa mutumin ya mike hannun sa?,Saboda tsaya dai-dai.,2142,2403278
4601,What ethnicity is the woman?,Asian.,Matar wacce jinsice?,Asiya.,596,2391075
4602,Where are the pillows?,Head of bed.,Ina matashin kai yake?,Fuskar Gabon.,1111,2359883
4603,What color is the man's hair?,Black.,Mene launin gashin kai mutumin.?,Baki.,647,2335245
4604,How many people are eating donuts?,Zero.,Mutane nawa ne ke cin dunut?,Babu.,640,2356628
4605,What is the bird doing?,Perching on a branch.,Me tsuntsuwar take?,Yayyaga reshan bishiya.,2650,2408299
4606,What are the two live plants that can be seen in the photo?,Ivy and a tree.,Wasu tsiro ne biyu masu rai ake iya gani a ciki hoton?,Ivy da bishiya.,1303,2370602
4607,What is on top of the cup?,Banana.,Menene akan kofin?,Ayaba.,599,2354781
4608,Where are the gloves in the picture?,On the people's hands.,Ina safar hannu a hoton?,A hannun mutane.,222,2335574
4609,What has blue handles?,Scissors.,Menene yake da mariki mai launin shudi?,Almakashi.,573,2396855
4610,Where was this picture taken?,In a living room.,Ina aka ɗauki hoton nan?,A cikin falo.,105,2336832
4611,What is the woman standing on top of?,Toilet.,Me matar take tsaye akai?,Masai.,1794,2372871
4612,What kind of shoes does the woman have on?,Wedge.,Wana irin takalmi matar tasa?,Takalmi mai tudu.,2338,2372871
4613,What is the color of the front train?,Black.,Menene launin jirgin ƙasana gaban?,Baƙi.,729,2404890
4614,How many people?,4,Mutane nawa?,4,28,2350092
4615,How many people are on the train?,3,Mutane nawa ne akan jirgin ƙasan?,3,25,2404191
4616,What are the elephants doing?,Walking.,Me giwayen suke yi?,Tafiya.,2328,2385040
4617,How many strollers are there?,One.,Stroller nawa ne a wurin?,Ɗaya.,2716,2384135
4618,Where are the fries?,On the plate.,Ina soyayyan dankalin?,A kan faranti.,268,2343352
4619,What color are the trees?,Green.,Menene launin bishiyun?,Kore.,1530,2402526
4620,Where is the hat?,On the man's head.,Ina hular?,Akan kan mutumin.,505,2349038
4621,How is the ground?,Bright.,Yaya ƙasa take?,Tayi haske.,2399,2366577
4622,Who is in the photo?,No one.,Waye a cikin hotn?,Ba kowa.,607,2320760
4623,Why are the headlights turn on?,It's getting dark.,Meyasa futulun saman suke a kunne?,Dare ya fara yi?.,926,2377370
4624,What lights are turned on in the front of the bus?,The headlights.,Waɗanne fitulu ke kunne a gaban motar bas din?,Fitulun saman motar.,1091,2377370
4625,How many wood objects?,1,Abubuwan katako guda nawa ne?,1,8,2409161
4626,What room is this?,Bathroom.,Wani ɗaki ne nan?,Ban daki.,658,2409161
4627,How many boys?,One.,Yara maza nawa ne?,Ɗaya.,2716,2350766
4628,How much hot dogs are pictured?,One.,Hot dog nawa aka nuna?,Ɗaya.,2716,2403139
4629,What is the yellow object in the cow's ear?,Tag.,Wanne abu ne mai launin rawaya a cikin kunnan San?,Alama.,551,2368387
4630,What is to the left of the train?,Trees.,Mene ne a hannun hagun jirgin ƙasan?,Bishiyu.,758,2349711
4631,What color is the boy's shirt?,Black.,Mene launin rigar yaron?,Baƙi.,729,2318747
4632,What is the table made of?,It is made of wood.,Dame akayi tebur din?,Ayi shi daga katako.,601,2363386
4633,How many cathedrals are there?,One.,Coci nawa ce a nan?,Ɗaya.,2716,2318616
4634,Where is the star?,On the cathedral.,Ina tauraro?,A jikin coci.,235,2318616
4635,How many trucks?,1,Babbar motar nawa ce?,1,8,2326354
4636,Where is the green bowl?,Hanging underneath the cabinets.,Ina koren kwanon?,Rataye ta kasan kabad.,2016,2409141
4637,Where is the clay pot?,Left side of table.,Ina tukunyar ƙasar?,Daga hagun tebur din.,888,2362057
4638,Who is wearing a necklace?,The woman in black.,Waye ke sanye da sarka?,Matar da tasa baƙi.,1813,2389445
4639,How many old women are there?,One.,Tsofaffi mata nawa ne a nan?,Ɗaya.,2716,2339296
4640,What color is the rug?,Green and white.,Mene launin daddumar?,Kori da fari.,1539,2342909
4641,What is this person doing?,Surfing.,Me mutumin ke yi?,Hawa igiyar ruwa.,1246,2403278
4642,What is in the water?,Two cows.,Meye acikin ruwan?,Shanu biyu.,2196,2359104
4643,Who is present?,Nobody.,Waye a gurin?,Ba kuwa.,608,2347936
4644,What color is the paper?,White.,Meye launin takardar?,Fari.,1039,2335245
4645,What color are the walls?,White.,Menene launin bangwan?,Fari.,1039,2320541
4646,What is this?,A field.,Menene wannan?,Fili.,1069,2366003
4647,Where is the white umbrella?,Near the trees.,Ina farar lemar take?,Kusa da bishuyin.,1564,2376284
4648,What is under the skateboard?,A road.,Mene a ƙasan siketbod?,Titi.,2417,2417450
4649,How many of the dogs legs can you see?,3,Ƙafafun Karen nawa kake iya gani?,3,25,2332607
4650,What is the table made of?,Wood.,Dame akayi tebur din ?,Katako.,1475,2343352
4651,What is the building made of?,Bricks.,Dame akayi gidan?,Jan bulo.,1339,2360464
4652,How many dogs are there?,1,Kare nawane anan?,1,8,2332607
4653,Where is the tree?,By the building.,Ina bishiyar take?,A kusa da gidan.,315,2360464
4654,What type of sky?,Clear.,Wani irin sararin sama ne?,Bayyananne.,714,2390891
4655,Why is the bus tall?,It's a double decker.,Meyasa bas take da tsawo?,Me hawa biyu ce.,1846,2391354
4656,What is the bathroom tile in the bathroom?,Brown.,Me tayal din bandakin yake kai?,Ruwan ƙasa?.,2106,2392874
4657,What is black and white?,The zebra.,Menene baƙi da fari?,Jakin  dawan.,1330,2366577
4658,What is in the front bowl?,Citrus.,Menene a kwanon gaban?,Lemuka.,1682,2416181
4659,Where is the red pen?,In the cup.,Ina jan biron?,A cikin kofin.,121,2396855
4660,What is curving around?,Line of windows.,Menene ya lankwasa?,Layin tagogi.,1673,2409599
4661,What is on the ground?,Grass.,Menene a ƙasa?,Ciyawa.,820,2369958
4662,How many bikes are outside the store?,Two.,Kekuna nawane awajan shagon?,Biyu.,761,2413596
4663,What are the objects in the picture?,Umbrellas.,Wasu abubuwa ne a cikin hoton?,Lema.,1677,2343402
4664,What is the woman standing on?,A toilet seat.,Akan me matar take tsaye?,Akan shaddar zama.,521,2372871
4665,What is in the sky?,Clouds.,Menene asarin samaniya?,Hadari.,1214,2354016
4666,What design is painted on the decor?,Flowers.,Wani zane ne a jikin adon?,Furanni.,1105,2409161
4667,What color is the train?,Yellow and blue.,Wana launine jingir?,Launin dorawa da shudi.,1656,2362523
4668,Where are the red flowers?,In a flower box on the dock between the two benches.,Ina jan furen?,A kwalin furen a tashar jirgin ruwa.,317,2323804
4669,How many trains?,1,Jingin kasn guda nawane?,1,8,2404890
4670,What is on the ground?,Snow.,Menene a ƙasa?,Ƙanƙara.,2729,2382461
4671,What fruit remains are shown?,Banana.,Ragowar wane kayan itaciya ne?,Ayaba.,599,2386598
4672,When was the picture taken?,Daytime.,Yaushe aka ɗauki hoton?,Da rana.,860,2378098
4673,"Where is the letter ""Z"" in this image?",The bottom left corner.,A ina aka rubuta harafin Z acikin hotan?,Akusurwa kasa daga bangaran hagu.,539,2333760
4674,Who is taking the picture?,A photographer.,Wa yake ɗaukan hoton?,Me hoto.,1847,2336925
4675,Where was this picture taken?,MTA Metro Station.,A ina aka ɗauki hoton?,MTA tashar metro.,1713,2324315
4676,What color is the grass?,Green.,Menene launin ciyawar?,Kore.,1530,2415513
4677,Where is the dog?,On the couch.,A ina karan yake?,Akan kujera.,509,2383516
4678,What is the girl sitting next to?,A table.,Me yarinyar take kai?,Tebur.,2407,2415249
4679,Where are the flowers?,Vase.,A ina furan yake?,Kaskon shuka.,1470,2391713
4680,Who is in the photo?,A person.,Wanene a hotan?,Mutum ne.,1893,2335969
4681,What color is this motorcycle?,Black.,Wane launine babur din?,Baki.,647,2381864
4682,What is the boy sitting on?,Table.,Akan me yaron ke zaune?,Tebur.,2407,2402947
4683,What animal is in the photo?,Giraffes.,Wacce dabba ce a hoton?,Raƙumin dawa.,2029,2350048
4684,When was the photo taken?,During the daytime.,Yaushe aka ɗauki hoton?,Da rana.,860,2391075
4685,Where is the bus going?,Dixon RD.,Ina motar bas din zataje?,Dixon RD.,940,2383481
4686,How many people are getting off the bus?,None.,Mutane nawa ne suke sauka daga bas din?,Babu.,640,2383481
4687,What color is the shirt?,Pink.,Mene launin rigar?,Ruwan hoda.,2067,2329954
4688,Where was this photo taken?,On a baseball field.,A ina aka ɗauki wannan hoton?,A filin wasan besbal.,161,2362327
4689,Who has four legs?,The cat.,Waye mai kafa hudu?,Mage.,1739,2360253
4690,Where is the silver car?,Parked on the street.,Ina mota ruwan azurfa?,Ajjiye a titi.,470,2362449
4691,Where was the picture taken?,A market.,A ina aka ɗauki hoton?,A kasuwa.,310,2343402
4692,What room is the woman in?,The bathroom.,A wanne ɗaki ne matar take?,A banɗaki.,63,2372871
4693,Who is the person?,A surfer.,Waye mutumin?,Mai wasan hawa igiyar ruwa.,1778,2398820
4694,What is the person riding?,Bike.,Me mutumin ke tuƙawa?,Keke.,1490,2395374
4695,What is covering the sheep's bodies?,Wool.,Me ya rufe jikin tunkiya?,Ulu.,2496,2372734
4696,Why are the flags blowing?,It is windy.,Meyasa tuta ke karawa?,Akwai iska.,543,2387690
4697,How many fences are next to the train?,One.,Shinge nawa ne kusa da jirgin ƙasan?,Ɗaya.,2716,2407123
4698,What color is the sky?,Gray.,Mene launin sararin samaniya?,Ruwan toka.,2087,2323558
4699,Who is in this picture?,A little girl.,Waye a wannan hoton?,Ƙaramar yarinya.,2736,2415249
4700,How many birds?,3,Tsuntsaye guda nawa ne?,3,25,2372746
4701,What is the wall made of?,Bricks.,Dame akayi bangon?,Jan bulu.,1340,2368783
4702,When is the game over?,When one team scores more points.,A yaushe zaa gama wasan?,Lokacin da kungiyar taji kwallon da yawa.,1693,2342392
4703,Where was this picture taken?,At an airfield.,Da yaushe aka ɗauki wannan hoton?,A filin tashi  jirgin sama.,157,2402526
4704,Where is the door?,Painted on the wall.,Ina ƙofar take?,Anyi fentin ta jikin gado.,591,2360464
4705,What kind of animal is sitting on the chair?,A cat.,Wacce irin dabba ce ke zaune kan kujera?,Mage.,1739,2370384
4706,How many people are in the picture?,1,Mutane nawa ne a hoton?,1,8,2416181
4707,What time of day is this?,This is early evening.,Wannan lokaci ne yanzun?,Yammacin ne.,2582,2369958
4708,What is the main color of the clouds?,White.,Mene ainihin launin gizagiza?,Fari.,1039,2402050
4709,Who is flying the kite?,Person standing.,Wa yake tada jirgin ledar?,Mutumin dake tsaye.,1919,2405601
4710,How many girls are there?,Two.,Yan mata nawa ne a nan?,Biyu.,761,2341945
4711,What type of vehicle is this?,A bus.,Wacce irin abin hawa ce wannan?,Bas.,677,2377370
4712,What vehicles are these?,Trains.,Wanne irin abun hawa ne waɗannan?,Jiragen ƙasa.,1362,2362523
4713,What grows on the hill?,Grass.,Mene ne le fitowa a tsauni?,Ciyawa.,820,2362523
4714,"What is the large, yellow object?",A kayak.,Mene wannan babban abun mai launin rawaya?,Karamin kwalekwale.,1446,2323804
4715,What is the yellow item on left?,Candle.,Mene ne abu mai launin rawaya dake hagu?,Kyandir.,1635,2401735
4716,What does the writing say on the wall?,Claro.,Me aka rubuta a bangon?,Claro.,822,2358526
4717,Who is skiing?,Woman.,Waye zai hau igiyar ruwan?,Matar ce.,1810,2315730
4718,Who is the woman?,The tennis player.,Wace matar?,Yar wasan tanis ce.,2632,2413255
4719,What color is the floor?,Brown.,Mene launin daɓen kasa?,Ruwan ƙasa-ƙasa.,2104,2348708
4720,Who is on top the tv?,A cat.,Waye a saman talabijin din?,Mage.,1739,2329019
4721,What is in the jar?,Olives.,Mene a cikin kwalba?,Zaitun.,2665,2410519
4722,Who is in the chair?,The dog.,Waye a kujerar?,Kare ne.,1456,2363386
4723,When was this?,Daytime.,Da yaushe wannan?,Da rana.,860,2335969
4724,Where was this photo taken?,At a restaurant.,A ina aka ɗauki wannan hoton?,A gidan cin abinci.,201,2362057
4725,What is the pot made of?,Steel.,Dame akayi tukunyar?,Baƙin ƙarfe.,734,2400093
4726,What color is the woman's cap?,White.,Mene launin hular matar?,Fara.,1009,2363833
4727,Who is blowing out candles?,The woman in a black tank top.,Wake hure kwandir din?,Mace mai sanye da bakar riga.,1721,2389445
4728,Where is the pillow?,On the bed.,Ina matashin kai?,Akan gadon.,493,2414037
4729,Who are at the traffic light?,People.,Suwaye a wajan danjar titi?,Mutane.,1886,2337896
4730,What is at the end of the bed?,Blanket.,Mene ne a karshe gado?,Bargo.,674,2359883
4731,Where is the lamp?,ON the desk.,Ina fitular?,Ken tebur din.,1493,2359883
4732,What animal is in the photo?,Cows.,Wacce dabba ce a hoton?,Shanu.,2198,2359104
4733,What type of water is shown?,Pond.,Wanne irin ruwa ne aka nuna?,Kududdufi.,1546,2359104
4734,When is this photo taken?,Night time.,A yaushe aka ɗauki wannan hoton?,Da dare.,843,2335245
4735,What color is the zebra?,Black and white.,Mene launin jikin jakin dawa?,Baƙi da fari.,723,2370153
4736,Where is the water?,In front of the bench.,Ina ruwan?,A gaban bencin.,170,2339719
4737,What is in the photo?,Pens.,Mene a jikin hoton?,Alƙaluma.,575,2396855
4738,What are these people doing?,Water skiing.,Me mutanan nan suke yi?,Hawa igiyar ruwa.,1246,2329507
4739,What are the majority of the people sitting on?,Sofa.,A ina mafi yawan mutanen ke zaune?,Kujera.,1548,2404155
4740,When was the photo taken?,Day time.,A yaushe aka ɗauki hoton?,Da rana.,860,2322449
4741,Why was this photo taken?,To document zebras outdoors.,Meyasa aka ɗauki wannan hoton?,A ajjiye hoton jakin dawa a waje.,51,2320382
4742,Who captured this photo?,A photographer.,Wa ya ɗauki wannan hoton?,Mai sana'ar ɗaukan hoto.,1772,2320506
4743,What color is the smoke?,White.,Mene launin hakin?,Fari.,1039,2407123
4744,Where is the food?,On the plates.,Ina abincin?,Akan faranti.,485,2358683
4745,What is on the side of the vehicle that is shiny?,A mirror.,Mene ne mai kwalli a gefen abin hawan?,Madubi.,1732,2391973
4746,What type of mixing bowl is on the table?,Stainless steel.,Wanne irin kwanon juya abinci ne a kan tebur?,Na silba.,1933,2396792
4747,What is in the air?,Kite.,Mene a iska?,Jirgin leda.,1369,2376284
4748,How many tents are there?,One.,Tanti nawa ne a nan?,Ɗaya.,2716,2361664
4749,What color is the sky?,Blue.,Mene launin sararin samaniya?,Shuɗi.,2230,2390891
4750,How many skateboarders are pictured?,One.,Masu wasan da sikebod guda nawa ne a hoton.?,Ɗaya.,2716,2326173
4751,Where is the picture taken?,At a party.,A ina aka ɗauki hoton?,A wajan fati.,373,2354975
4752,Where is the cup ear?,On the right side of the cup.,Ina hannun moɗa take?,Tana gefen daman moɗar.,2357,2386598
4753,What is covering the bananas?,Bruises.,Mene a jikin ayabar?,Ciwuka.,815,2376459
4754,Where is this shot?,Street.,A ina aka ɗauki wannan?,Titi.,2417,2377846
4755,What phone number is on the sign?,512257 SAVE.,Wacce lambar waya ce a jikin alamar ttitn?,512257 SAVE.,32,2377846
4756,What color is the fire truck?,Red.,Mene launin babbar motar kashe gobara?,Ja.,1321,2329377
4757,Where is the jacket?,On the back of the chair.,Ina rigar?,Tana bayan kujera.,2355,2414037
4758,What is on her face?,Glasses.,Mene a fuskar ta?,Madubi ido .,1730,2339296
4759,Where is the mirror?,Left wall.,Ina madubin?,Bangon hagu.,666,2389903
4760,What room is this?,Bathroom.,Wanne ɗaki nan?,Banɗaki.,670,2389903
4761,What is white and foamy?,Waves.,Mene ne fari mai kunfa?,Igiyar ruwa.,1287,2403278
4762,What color is the hat?,Green.,Mene launin hular?,Koriya.,1541,2328201
4763,What color are the bench legs?,Black.,Mene launin kafafen benci?,Baƙi.,729,2381497
4764,What does the zebra use to hear?,Ears.,Me jakin dawo yake amfani dashi wajan ji?,Kunne.,1556,2370153
4765,What is the zebra looking at?,The camera.,Me jakin dawa yake kalla?,Kamara.,1401,2370153
4766,What is made of wood?,The headboard.,Mene akayi da katako?,Fuskar gado.,1113,2390397
4767,What shape is the cake?,Round.,Mene siffar kek din?,Zagayayye.,2661,498232
4768,How many candles are on the cake?,Two.,Kwandira nawa ne a kan kek din?,Biyu.,761,498232
4769,What does the lady have on?,A watch.,Me matar ke sanye dashi?,Agogo.,459,498232
4770,What time is it?,Evening.,Wanne lokaci yanzu?,Yamma.,2581,2339719
4771,What color are the walls?,White.,Mene launin bangon?,Fari.,1039,2354781
4772,What is between the people?,Yellow net.,Mene tsakanin mutanen?,Raga mai launin rawaya.,1996,2388566
4773,How many women are there?,5 women.,Mata nawa ne a nan?,Mata 5.,1804,2336832
4774,Where was the picture taken?,On a roadway.,A ina aka ɗauki hoton?,A kan titi.,300,2378098
4775,Who is there?,People.,Suyawe a nan?,Mutane.,1886,2350092
4776,What is under the green street signs?,No walking sign.,Mene ne a ƙasan koren alamar titin?,Alama ta babu tafiya.,550,2400340
4777,Where is the No Walking sign?,Bolted to a green metal pole.,A Ina alamar rashin tafiya take?,Yana bude a jikin koren karfen falwaya.,2590,2400340
4778,What color is this photo?,Black and white.,Wanne launin ne a hoton nan?,Baƙi da fari.,723,2320506
4779,What are the people doing?,Skiing.,Me mutanan ke yi?,Wasan gudun ƙanƙara.,2530,2323558
4780,What is in front of the man?,A glass shelf.,Mene a gaban mutumin?,Kwabar gilashi.,1599,2346468
4781,How many windows are on the left building?,Twelve.,Taga nawa ce a ginin dake hagu?,Sha biyu.,2188,2385553
4782,How many ducks are there?,Five.,Agwagwi nawa ne a nan?,Biyar.,759,2415513
4783,When was this picture taken?,Daytime.,A yaushe aka ɗauki wannan hoton?,Da rana.,860,2415513
4784,How many lanes of traffic are there?,Four.,Hannu nawa ne ake zirga-zirga akan titin nan?,Huɗu.,1280,2413885
4785,What is in the sky?,Clouds.,Mene ne a sararin samaniya?,Gizagizai.,1193,2360260
4786,What was the use of the silver bowls?,To mix food.,Mene amfanin kwanon silba?,A juya abinci?.,252,2396792
4787,When is it?,Day time.,Yaushe a nan?,Da rana.,860,2316952
4788,What does the boy have on his hand?,Baseball glove.,Me yaron yake sanye dashi a hannun sa?,Safar hannun basbal.,2147,2384135
4789,What are they doing?,Sitting and talking.,Me suke yi?,Suna hira a zaune.,2277,2381990
4790,How many players?,10 players.,Yan wasa nawa ne?,Yan wasa goma.,2585,2342392
4791,What is this a picture of?,Train.,Mene ne a wannan hoton?,Jirgin ƙasa.,1376,2318278
4792,What animal is on the seat?,A cat.,Wacce dabba ce ke zaune kan kujera?,Mage.,1739,2370384
4793,Where are the legs?,On the zebra.,Ina ƙafafun.?,Kan jakin dawan.,1423,2366577
4794,When was this?,Daytime.,Da yaushe ne wannan?,Da rana.,860,2320760
4795,What are the people standing and sitting on?,Sand.,Akan me mutanen ke zaune wasu kuma ke tsaye akai?,Ƙasa.,2752,2405601
4796,Who is watching the game?,Fans.,Suwaye suke kallon wasan?,Magoya baya.,1742,2358526
4797,What color is the sign?,Red.,Wani launi ne da alamar?,Ja.,1321,2377846
4798,What is the cat doing?,Laying down.,Me magen takeyi?,Tana kwance.,2361,2329019
4799,What can be seen through the windows?,Dishes and cups.,Me ake iya gani ta tagar?,Kwanuka da kofi.,1631,2409141
4800,How is the weather?,Sunny and bright.,Ya yanayi yake?,Haske ga rana.,1235,2362057
4801,What color is the ocean?,Blue.,Mene launin taking?,Shuɗi.,2230,2381864
4802,Why is this vehicle on the trailer?,Transporting.,Meyasa wannan abun hawan ke kan tirela?,Dan tafiya dashi.,915,2329377
4803,What is the structure made of?,Bricks.,Dame aka yi ginin?,Jan bulo.,1339,2413569
4804,What color is the bus?,Red.,Mene launin bas din?,Ja.,1321,2413569
4805,What color is the bed?,Brown.,Mene launin gadon?,Ruwan ƙasa-ƙasa.,2104,2342909
4806,What is on the floor?,Shoes.,Mene a ƙasan?,Takalma.,2336,2329954
4807,Where is this scene?,At a train station.,Ina ne hakan?,A tashar jirgin ƙasa.,358,2347936
4808,Where is the photo taken?,In a park.,A ina aka ɗauki hoton?,A lambu.,322,2335245
4809,What is the zebra standing in?,Grass.,Ina na jakin dawan ke tsaye?,A ciyawa.,142,2370153
4810,What color is the doorknob?,Gold.,Mene launin ƙofar ɗakin?,Ruwan kwal.,2071,2412457
4811,What color is the wall?,Green.,Mene launin jikin bangon?,Kore.,1530,2412457
4812,Who is in the pic?,No one.,Waye a hoton?,Babu kowa.,638,2380072
4813,Where is the cat standing?,In a bowl.,A ina magen ke tsaye?,A cikin kwano.,122,2408925
4814,What color is the fruit?,Green and brown.,Mene launin abun marmari?,Kore da ruwan ƙasa.,1526,2332812
4815,When was this photo taken?,"Outside, during the daytime.",A yaushe aka ɗauki wannan hoton?,"Waje, da rana.",2508,2386985
4816,What color is the grass?,Green.,Mene launin ciyawar?,Koriya.,1541,2386985
4817,What item is used to hear?,Ears.,Wanne abu ake anfani dashi wajan ji?,Kunne.,1556,2377924
4818,What color is the sign?,Yellow and red.,Mene launin alama ?,Rawaya da ja.,2021,2334064
4819,How many children wearing hats?,One.,Yara nawa ke sanye da hula?,Ɗaya.,2716,2417901
4820,Who is standing on the tracks?,No one.,Wake tsaye a hanyar jirgin ƙasan?,Babu kowa.,638,2333844
4821,Where is window?,The office.,Ina tagar?,A ofis.,331,2406916
4822,Where are the zebras?,In grass.,Ina dakunan dawa?,A ciyawa.,142,2403741
4823,What is on the table?,The white plate.,Mene akan tebur din?,Farin faranti.,1049,2372034
4824,How much pizza remains on the table?,One slice.,Fiza nawa ce tayi ragowa a kan tebur?,Yanka ɗaya.,2624,2372034
4825,Where is the girl in the picture?,Inside a vehicle.,Ina yarinyar a hoton?,Cikin abin hawa.,792,2323235
4826,What's the number of giraffes in the picture?,2,Raƙumin dawa nawa ne a hoton?,2,20,2401712
4827,What is orange and black?,The wheels.,Mene mai ruwan goro kuma baƙi?,Ƙafafu.,2724,2372104
4828,What is it made of?,Wood.,Dame akayi shi?,Katako.,1475,2335167
4829,Where is the mirror?,On the wall.,Ina madubin?,Jikin bango.,1354,2394763
4830,Who is riding the horse?,A person.,Waye ya hau doki?,Mutane ne.,1882,2405085
4831,Why is the person in the air?,They jumped.,Meyasa mutumin yake cikin iska?,Sunyi tsalle ne.,2299,2398981
4832,Where is this scene?,Beach.,Ina ne hakan?,Gefen ruwa.,1158,2332221
4833,Why is it bright?,The sun.,Meyasa yayi haske?,Saboda rana.,2136,2332221
4834,What is this food?,A cake.,Wanne abinci ne?,Kek.,1489,2390299
4835,How many bald adults are there?,Two.,Maza nawa ne marassa gashi a wajan?,Biyu.,761,2373259
4836,What amount of colors on bus?,Three.,Launika nawa ne a jikin motar bas din?,Uku.,2495,2360918
4837,When was the picture taken?,Daytime.,Da yaushe aka ɗauki hoton?,Da rana.,860,2315483
4838,Where was the photo taken?,In the zoo.,A ina aka ɗauki hoton?,A gidan ajjiye namomin daji.,200,2351388
4839,What plant is partially visible?,Tree.,Wacce shuka ce ake ɗan ganin ta?,Bishiya.,752,2325181
4840,Who has a tail?,A horse.,Waye yake da jela?,Doki.,946,2325217
4841,What color is the grass?,Green.,Mene launin ciyawar?,Koriya.,1541,2382489
4842,What color is the writing on the boat?,Black.,Mene launin rubuta jikin kwalekwale?,Baƙi.,729,2407228
4843,What color are the plates?,White.,Mene launin farantan?,Fari.,1039,2333612
4844,What number is in the circle?,60,Wacce lamba ce aka zagaye?,60,38,2363917
4845,Where is the water?,Under the horse.,Ina ruwan yake?,Kasan dokin.,1465,2366157
4846,Where are many small windows?,On the planes.,A ina ƙananun taga suke masu yawa?,A jikin jirgin sama.,241,2368217
4847,What color are the flowers?,Yellow.,Mene launin furanni ?,Rawaya.,2025,2346599
4848,Where is this scene taking place?,Outdoors.,A ina haka ne faruwa?,A waje.,380,2342457
4849,Where is the face?,On dog.,Ina fuskar?,Jikin karen.,1357,2366573
4850,What time of day is it?,Nighttime.,Wanne lokaci ce wannan?,Da dare.,843,2330616
4851,What type of bird is this?,A hawk.,Wanne irin tsuntsu ne?,Shaho.,2193,2358256
4852,What item has a metal handle?,A umbrella.,Wanne irin abun ne mai hannun ƙarfe?,Lema.,1677,2377924
4853,What color are the man's pants?,Blue.,Mene launin jirgin wandon mutumin?,Shuɗi.,2230,2334064
4854,What color are the train's stripes?,Orange.,Mene launin layin dake jikin jirgin ƙasan?,Ruwan goro.,2062,2333844
4855,Where are the zebras?,Wild.,Ina jakunan dawa?,A daji.,144,2403741
4856,What color are the shirts of the men?,White.,Wanne launin riga ce a jikin mazen?,Fara.,1009,2355345
4857,How many men are there?,Two.,Maza nawa ne a nan?,Biyu.,761,2406991
4858,What is the bench made of?,Wood.,Dame akayi bencin?,Katako.,1475,2365424
4859,Where is the wrist watch?,Left wrist.,Ina agogon hannun?,Yana hannun hagu.,2595,2323235
4860,Where is the clock tower?,Beside a building.,Ina agogon hasumiya?,Kusa da ginin.,1569,2393112
4861,What color is the ball?,White.,Mene launin kwallon?,Fari.,1039,2328845
4862,What color are the wheels?,Black and gray.,Mene launin ƙafafu?,Baƙi da ruwan toka.,724,2328845
4863,What type of birds are the smaller birds?,Ducks.,Wacce irin tsuntsu ne ƙanana.?,Agwagwa.,465,2377160
4864,Where is the dog?,On a pillow.,Ina karen?,Yana kan matashin.,2604,2394499
4865,What is the dog on?,The pillow.,Akan me karen yake?,Kan matashi kai.,1427,2394499
4866,What color is the table?,Brown.,Mene launin tebur din?,Ruwan ƙasa.,2105,2412517
4867,What is behind the food?,A window with a closed curtain.,Mene a bayan abincin.?,Taga da rufaffen labule.,2330,2412517
4868,How many umbrellas?,1,Lema nawa ne?,1,8,2332221
4869,What is in the background?,Boat.,Mene a ƙasan bayan hoton?,Jirgin ruwa.,1371,2332221
4870,What color is the elephant?,Grey.,Mene launin giwar?,Ruwan toka.,2087,2405531
4871,Where is the pizza?,Board.,Ina fiza din?,Kan abun katakon.,1406,2361427
4872,What does the sign say?,Carrots $3.50 a bunch.,Me ake ce a jikin alamar?,Karas $3.50 duk dauri.,1450,2316213
4873,How many blue bibs are visible?,One.,Shuɗin bib nawa ake iya gani?,Ɗaya.,2716,2373259
4874,Who is on the bike?,The man.,Waye kan keke?,Namijin.,1950,2341475
4875,What is in the background?,Trees.,Mene ne a ƙasan bayan hoton?,Bishiyu.,758,2338525
4876,What color are the rocks?,Gray.,Mene launin dutsen?,Ruwan toka.,2087,2315483
4877,Who are the people in the picture?,Man and woman.,Suwa mutanan dake jikin hoton?,Maza da mata.,1834,2324028
4878,What are elephants doing?,Drinking.,Me giwar take yi?,Shan ruwa.,2195,2365859
4879,Where is this photo taken?,On a city street.,A ina aka ɗauki wannan hoton?,A kan titi cikin gari.,299,2364367
4880,Where is the tree?,In front of the clock tower.,Ina bishiya?,A gaban hasumiya agogo.,175,2387978
4881,Why is the cat eating?,It is hungry.,Meyasa mage ke cin abinci?,Tana jin yunwa.,2358,2408925
4882,What color is the cow?,Brown and white.,Menene launin jikin San.?,Ruwan ƙasa.,2105,2322820
4883,Who is wearing gloves?,Players.,Waye yake sanye da safar hannun?,Yan wasa.,2586,2409878
4884,What is in the water?,Large rocks.,Mene a cikin ruwan?,Mayan dutse.,1829,2410402
